"NBa7we src","d4r55","RfnDt","eaLgGf src","hCCjke src","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","wiI7pd","w8nwRe","dSlJg src","dSlJg src 2","znYl0","RfDO5c","RfDO5c 2","znYl0 2","RfDO5c 4"
"https://lh3.googleusercontent.com/a-/ALV-UjW8oT2ZrW0os14NLHwM4ZXR0Cm9hVqGUkhfS9-lpyfQHTM=w36-h36-p-rp-mo-ba4-br100","Brian Ricard Wola","Local Guide · 40 ulasan · 134 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","5 jam lalu","Kurang rasanya kalau berkunjung di Madura, dan belum makan bebek sinjay.
Soal rasa jangan tanya lagi, paling top dah. Sambal cabai & mangga yang luar biasa menggoyang lidah. …","Lainnya","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUSPsB24YOzSjUJBG348BNucKw0JBjXucjiFqgtBACq4Os=w36-h36-p-rp-mo-ba4-br100","Mohammad Iqbal Ramadhan","Local Guide · 134 ulasan · 13 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","14 jam lalu","Sudah tidak serame dulu, tapi bebeknya tetap enak.","Lainnya","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Suka","Layanan","Makan di temp…","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjVhjSq8_aUgaUzvIBzUSFuRW4xHRrUhB-d6DyBdSkWUMDo=w36-h36-p-rp-mo-ba3-br100","Putu Tistha","Local Guide · 27 ulasan · 29 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","22 jam lalu","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXtOQRE_ixNE9jqWVDiX7cwgySxfSnWpMjwOp0lcr0qroKD=w36-h36-p-rp-mo-ba4-br100","Pastika Setyorini","Local Guide · 14 ulasan · 67 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Bebeknya mantapppp. Ukuran bebeknya cukup besar, empuk, gurih sampai ke dalam. Perpaduan nasi+bebek+sambal mangga yang oke. Harganya juga cukup murah, 30rb paket makan dan minum. …","Lainnya","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Suka","","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjUuhnOPauMNOzo8xU4RaF3ODjUwoIxMpeQMjzFTa65WuXA=w36-h36-p-rp-mo-ba5-br100","anggita filans","Local Guide · 111 ulasan · 389 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 hari lalu","Pelayanan nya kurang bgttt, gak ramah. Tp ada sih mas mas 1 yg baik bgt mau tolongin fotoin pdhl lg beres2 kerja. Makasih mas. Aku gak tau namamu, tp mudah2 an penuh berkah jalan hidupmu. …","Lainnya","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","","","Suka",""
"https://lh3.googleusercontent.com/a/ACg8ocINltNztNE8T6XXQ7Z_sOB542IKzrTbscktYxINTlKWFg=w36-h36-p-rp-mo-br100","Ayu Ramadhani","2 ulasan · 2 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","","Lainnya","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Suka","5…","5","Bagikan","Layanan:"
"https://lh3.googleusercontent.com/a-/ALV-UjVxuL0eBwi2FV4qUL06NS6dQau1H_FDXBuhGrgUH09aCA=w36-h36-p-rp-mo-br100","Tabah Widodo","22 ulasan · 57 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 hari lalu","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU10qNwRL1bdHm-GAZWdsoPLHB1su-0LLnIlH2PSlUFie8=w36-h36-p-rp-mo-ba4-br100","VAN BOUROUGH","Local Guide · 109 ulasan · 6 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Josss","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Suka","","","Bagikan",""
"https://lh3.googleusercontent.com/a-/ALV-UjXIdWV1uA8ATTVDqDLl-vqv6YnKmYtw0QkktXPKKfYBow=w36-h36-p-rp-mo-ba5-br100","Wildan Surya Nugraha","Local Guide · 448 ulasan · 733 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 hari lalu","Pengen makan langsung di tempat asalnya. Buka mulainya jam 7 pagi, agar tidak antri kami pagi2 sudah berangkat dari Surabaya. Bener saya masih sepi dan menu nya masih komplit. Harga perpaket 29 ribu sudah termasuk nasi + minum. Bebeknya …","Lainnya","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","","","Suka",""
"https://lh3.googleusercontent.com/a-/ALV-UjUd4K3clO4ZCxr4lOoqEmrtNupqizxDsOgAbWpFUIFw=w36-h36-p-rp-mo-ba5-br100","Andrie Rosseno","Local Guide · 188 ulasan · 623 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 hari lalu","","Lainnya","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Suka","4…","4","Bagikan","Layanan:"
