"NBa7we src","d4r55","RfnDt","eaLgGf src","hCCjke src","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","RfDO5c","RfDO5c 2","RfDO5c 3","RfDO5c 4","RfDO5c 5","RfDO5c 6","RfDO5c 7","RfDO5c 8","RfDO5c 9","RfDO5c 10","RfDO5c 12","dSlJg src","znYl0","dSlJg src 2","znYl0 2","wiI7pd","w8nwRe"
"https://lh3.googleusercontent.com/a-/ALV-UjXnhmOaUA4Kj9XpVSxz2Xb9_MPaXUevPzwBdNBp6vEmNT4=w36-h36-p-rp-mo-ba3-br100","dios andri","Local Guide · 1 ulasan · 14 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","1 hari lalu","Layanan","Makan di tempat","Jenis makanan","Makan siang","Tarif per orang","Rp 50.000–75.000","5","Makanan:","5","Layanan:","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXOVrt6ppK5m2UEkduX5gprRBtf_DOWhBU3a2LMzmRsO8I=w36-h36-p-rp-mo-br100","rraa","2 ulasan","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 hari lalu","","","3","1","","1","","Makanan:","","Layanan:","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","banyak laron",""
"https://lh3.googleusercontent.com/a/ACg8ocKjyX8HNTZLdbAYshtbN0fov-AfmDyLk1Be8JMzUzzU=w36-h36-p-rp-mo-br100","Pakji","6 ulasan","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","2 hari lalu","","","","","","","","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Bebeknya bener-bener mantaaap coy . . . .",""
"https://lh3.googleusercontent.com/a-/ALV-UjVEXnvWcY-XxvkMIcWn0Yc3o_dX48-DqbdkvPGRlW7Y-_k=w36-h36-p-rp-mo-ba3-br100","Muhammad Sonhaji Akbar","Local Guide · 14 ulasan · 101 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 hari lalu","","","","","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUOdcT7CtuepJtQhHvLdCoQ6Jp7O4lD26ba3FLjVh46TA=w36-h36-p-rp-mo-ba2-br100","Bobby Soemaryono","Local Guide · 10 ulasan · 14 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","4 hari lalu","","","5","5","","5","","Makanan:","","Layanan:","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Mantaaap .. baik rasa, tempat dan layanan...bisa QRIS jg",""
"https://lh3.googleusercontent.com/a-/ALV-UjVehwOAb0Nahwhv-A6qaPmmeDJgGv4JWVoS26fcOvEF6rA=w36-h36-p-rp-mo-ba6-br100","Riha Rahma Mufida","Local Guide · 213 ulasan · 335 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","5 hari lalu","Layanan","Makan di tempat","Jenis makanan","Sarapan siang","Tarif per orang","Rp 50.000–75.000","5","Makanan:","5","Layanan:","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXlNVT1nFPC8ILW2X3D2ioazJbjGfwU4SW1c4dW2qoaBziG=w36-h36-p-rp-mo-ba4-br100","Rizki Fanani","Local Guide · 10 ulasan · 438 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","5 hari lalu","Tarif per orang","Rp 25.000–50.000","2","2","","3","","Makanan:","","Layanan:","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW8oT2ZrW0os14NLHwM4ZXR0Cm9hVqGUkhfS9-lpyfQHTM=w36-h36-p-rp-mo-ba4-br100","Brian Ricard Wola","Local Guide · 40 ulasan · 134 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","5 hari lalu","","","","","","","","","","","","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Bagikan","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","","Kurang rasanya kalau berkunjung di Madura, dan belum makan bebek sinjay.
Soal rasa jangan tanya lagi, paling top dah. Sambal cabai & mangga yang luar biasa menggoyang lidah.
Karena selalu ramai setiap hari, seringkali kebersihan kurang terjaga. Orang-orang yang datang makan terlihat tidak begitu peduli dengan sampah dikarenakan lapar dan tidak sabar mencicipi bebek sinjay yang lezat ini.
Hahaa.. Sepertinya perlu ada tambahan karyawan untuk kebersihan rumah makan ini supaya pengunjung juga nyaman.",""
"https://lh3.googleusercontent.com/a-/ALV-UjUSPsB24YOzSjUJBG348BNucKw0JBjXucjiFqgtBACq4Os=w36-h36-p-rp-mo-ba4-br100","Mohammad Iqbal Ramadhan","Local Guide · 135 ulasan · 14 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","5 hari lalu","5","","Layanan","Makan di tempat","Jenis makanan","Makan siang","Tarif per orang","Makanan:","Rp 25.000–50.000","Layanan:","Suasana:","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","Suka","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Bagikan","Sudah tidak serame dulu, tapi bebeknya tetap enak.",""
"https://lh3.googleusercontent.com/a-/ALV-UjVhjSq8_aUgaUzvIBzUSFuRW4xHRrUhB-d6DyBdSkWUMDo=w36-h36-p-rp-mo-ba3-br100","Putu Tistha","Local Guide · 27 ulasan · 29 foto","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","6 hari lalu","","","","","","","","","","","","","","","","",""
