R,G,B,SPAD,Nitorgen,Category,Normalized R,Normalized G,Normalized B,SR B/R,NDVI (cam),Excess NIRB
148.25069215,179.04904885,207.6909708,65.2850560015619,3.44107834245139,High,0.277108908398062,0.334676929712633,0.388214161889306,59.44027865,0.166994439924134,88.0822006
136.58128694,168.44320449,197.89236636,68.8346422356499,3.55785972955288,High,0.271578263532839,0.334932507989891,0.39348922847727,61.31107942,0.183306155253455,90.76024129
138.81742342,167.90584602,195.12577215,65.4883986006684,3.44776831396199,High,0.276611912977231,0.334574408049135,0.388813678973634,56.30834873,0.168616547595433,83.52827486
147.43007872,178.95534577,209.40035279,64.5007629455875,3.41527510090983,High,0.275166092441744,0.334005405441135,0.390828502117121,61.97027407,0.173668691338237,92.41528109
142.5202335,175.68428764,207.99109261,57.4828316583477,3.18438516155964,Normal,0.270850287945792,0.333876381804028,0.39527333025018,65.47085911,0.186786714816324,97.77766408
145.21605592,178.63387913,213.2547344,60.8475776691249,3.29508530531421,Normal,0.270368261867287,0.332586717804786,0.397045020327927,68.03867848,0.189802573368009,102.65953375
136.97296808,168.48199596,198.92361219,63.8519214273518,3.39392821495987,High,0.271567775744582,0.334038763540129,0.394393460715289,61.95064411,0.184433685094986,92.39226034
157.4540527,186.94917445,214.57463309,58.7007651943129,3.22445517489289,Normal,0.281682091366546,0.334448263066685,0.383869645566769,57.12058039,0.153538107602388,84.74603903
145.06118963,175.53607324,203.40510139,63.8989159694534,3.39547433539502,High,0.276833082298887,0.334990994721738,0.388175922979375,58.34391176,0.167430575821899,86.21293991
146.82032232,177.82648012,206.85945619,64.7313530316662,3.42286151474182,High,0.27623441857193,0.334570811223112,0.389194770204958,60.03913387,0.169755630709044,89.07210994
154.0358019,183.72594974,209.09590267,61.0669531263827,3.30230275785799,High,0.281674400433062,0.335966678516765,0.382358921050173,55.06010077,0.151625705156202,80.4300537
134.63070109,164.34252528,190.5633325,60.648046898641,3.28852074296529,Normal,0.275016643089474,0.335710423056764,0.389272933853762,55.93263141,0.171997717155288,82.15343863
143.65349887,173.88838726,201.15217639,59.6550700333869,3.25585180409843,Normal,0.276952271580053,0.335242679307314,0.387805049112634,57.49867752,0.16675676082374,84.76246665
144.81131589,174.22863872,201.00682529,60.7330336639566,3.29131680754417,Normal,0.278458249309506,0.335024935167376,0.386516815523118,56.1955094,0.162500177718409,82.97369597
153.95019248,185.20207667,215.59608265,64.1097367761853,3.4024103399365,High,0.277513564448593,0.333848809228675,0.388637626322732,61.64589017,0.166815076537611,92.03989615
143.05439116,174.23458632,203.43581403,64.4887302252458,3.41487922441059,High,0.274721683108596,0.334600136503495,0.390678180387909,60.38142287,0.174265886785716,89.58265058
150.45709653,182.06085951,211.31099196,55.7851970797338,3.12853298392324,Normal,0.276662537151296,0.334775962514596,0.388561500334109,60.85389543,0.168212447051371,90.10402788
145.49956808,178.29980996,210.10788398,61.8453953264064,3.32791350623877,High,0.272518428630307,0.333952771658163,0.39352879971153,64.6083159,0.181684370014549,96.41638992
143.63826153,176.01108686,206.86684697,62.1256794106928,3.33713485261179,High,0.272808819169919,0.334293775597262,0.392897405232819,63.22858544,0.180392764346828,94.08434555
152.6737567,185.36756349,218.51870164,61.8789944068477,3.32901891598529,High,0.274316786530948,0.333059429745782,0.392623783723269,65.84494494,0.177387615132224,98.99608309
142.18105156,172.15545285,198.5435148,58.5682493559283,3.22009540381004,Normal,0.27722088253507,0.335664183438409,0.387114934026521,56.36246324,0.165419429077647,82.75052519
156.62757149,187.11764706,213.28320336,61.6480996163092,3.32142247737657,High,0.281184164630125,0.335921184090375,0.382894651279501,56.65563187,0.15316026383112,82.82118817
151.08825191,181.26381086,208.28604587,63.3078402073683,3.37602794282242,High,0.279462822719008,0.335277532166531,0.385259645114461,57.19779396,0.159159389843219,84.22002897
141.13866184,170.57092969,196.97016359,58.911854487291,3.23140001263188,Normal,0.277460741103614,0.335320853588446,0.38721840530794,55.83150175,0.165128791533302,82.23073565
125.4686788,153.65577748,179.06398876,64.9893264654332,3.43134884071275,High,0.273836409796512,0.335354981434737,0.390808608768752,53.59530996,0.175991989264799,79.00352124
129.77864599,160.66334168,189.9681216,63.8899611725196,3.39517972257589,High,0.270141371894116,0.334429560452284,0.3954290676536,60.18947561,0.188241076098004,89.49425553
147.28036232,177.92899678,205.21634078,64.5245158254774,3.41605657065821,High,0.277664453953343,0.335445655857651,0.386889890189006,57.93597846,0.16435892293598,85.22332246
136.0244386,168.93324626,200.66560184,66.1586443509868,3.46981939914746,High,0.269023287055817,0.33410891211629,0.396867800827893,64.64116324,0.191990125860344,96.37351882
137.55545654,167.97279154,196.51606963,63.7659799609307,3.39110074071462,High,0.273990665141752,0.334577617183644,0.391431717674604,58.96061309,0.176490986124919,87.50389118
156.51425174,189.08397021,220.93037901,63.3858617227062,3.37859485067704,High,0.276268932362429,0.33375891330039,0.38997215433718,64.41612727,0.17066377959067,96.26253607
151.69940679,182.73987722,210.65970112,56.6189213871835,3.15596251363834,Normal,0.27829698995646,0.335241639050967,0.386461370992573,58.96029433,0.162712328855396,86.88011823
151.87907565,181.68015887,208.24542336,59.8805268053493,3.26326933189599,Normal,0.280320727112757,0.335324099244342,0.384355173642901,56.36634771,0.156519059005855,82.9316122
131.15752651,159.99238469,184.84468005,60.9514893358072,3.29850399914806,Normal,0.275544153066046,0.336122274561665,0.388333572372289,53.68715354,0.169894869167017,78.5394489
139.10074823,169.92608283,198.5645695,61.6737748549334,3.32226719272731,High,0.274040789651947,0.334769428013416,0.391189782334637,59.46382127,0.176102839550575,88.10230794
121.67756369,150.88834353,178.12039996,57.8418789494894,3.1961978174382,Normal,0.269982827859474,0.334796822371035,0.395220349769491,56.44283627,0.188269578561562,83.6748927
157.87501171,189.8696698,219.95976383,61.6030371710126,3.31993992292631,High,0.278093668291514,0.334451617137305,0.38745471457118,62.08475212,0.164317199313559,92.17484615
